time,potential,pair
9/26/2023 12:18,2670,2 to 228.6
9/26/2023 14:12,-262,2 to 4
9/26/2023 14:13,1180,76.2 to 78.2
9/26/2023 14:14,1610,152.4 to 154.4
9/26/2023 14:15,1070,226.6 to 228.6
9/26/2023 14:16,2460,2 to 78.2
9/26/2023 14:17,2770,2 to 154.4
9/26/2023 14:18,2670,2 to 228.6
9/26/2023 15:12,-276,2 to 4
9/26/2023 15:13,1130,76.2 to 78.2
9/26/2023 15:14,1680,152.4 to 154.4
9/26/2023 15:15,790,226.6 to 228.6
9/26/2023 15:16,2420,2 to 78.2
9/26/2023 15:17,2710,2 to 154.4
9/26/2023 15:18,2600,2 to 228.6
9/26/2023 16:12,-280,2 to 4
9/26/2023 16:13,1080,76.2 to 78.2
9/26/2023 16:14,1720,152.4 to 154.4
9/26/2023 16:15,860,226.6 to 228.6
9/26/2023 16:16,2380,2 to 78.2
9/26/2023 16:17,2670,2 to 154.4
9/26/2023 16:18,2590,2 to 228.6
9/26/2023 18:12,-272,2 to 4
9/26/2023 18:13,1020,76.2 to 78.2
9/26/2023 18:14,1700,152.4 to 154.4
9/26/2023 18:15,298,226.6 to 228.6
9/26/2023 18:16,2400,2 to 78.2
9/26/2023 18:17,2650,2 to 154.4
9/26/2023 18:18,2570,2 to 228.6
9/26/2023 19:12,-273,2 to 4
9/26/2023 19:13,950,76.2 to 78.2
9/26/2023 19:14,1160,152.4 to 154.4
9/26/2023 19:15,800,226.6 to 228.6
9/26/2023 19:16,2290,2 to 78.2
9/26/2023 19:17,2490,2 to 154.4
9/26/2023 19:18,2410,2 to 228.6
9/26/2023 20:12,-266,2 to 4
9/26/2023 20:13,920,76.2 to 78.2
9/26/2023 20:14,1130,152.4 to 154.4
9/26/2023 20:15,670,226.6 to 228.6
9/26/2023 20:16,2220,2 to 78.2
9/26/2023 20:17,2400,2 to 154.4
9/26/2023 20:18,2310,2 to 228.6
9/26/2023 22:12,-241,2 to 4
9/26/2023 22:13,874,76.2 to 78.2
9/26/2023 22:14,1230,152.4 to 154.4
9/26/2023 22:15,310,226.6 to 228.6
9/26/2023 22:16,2160,2 to 78.2
9/26/2023 22:17,2380,2 to 154.4
9/26/2023 22:18,2300,2 to 228.6
9/27/2023 0:12,-218,2 to 4
9/27/2023 0:13,797,76.2 to 78.2
9/27/2023 0:14,363,152.4 to 154.4
9/27/2023 0:15,715,226.6 to 228.6
9/27/2023 0:16,2180,2 to 78.2
9/27/2023 0:17,2390,2 to 154.4
9/27/2023 0:18,2250,2 to 228.6
9/27/2023 2:12,-211,2 to 4
9/27/2023 2:13,684,76.2 to 78.2
9/27/2023 2:14,1790,152.4 to 154.4
9/27/2023 2:15,-84,226.6 to 228.6
9/27/2023 2:16,2220,2 to 78.2
9/27/2023 2:17,2440,2 to 154.4
9/27/2023 2:18,2390,2 to 228.6
9/27/2023 4:12,-208,2 to 4
9/27/2023 4:13,623,76.2 to 78.2
9/27/2023 4:14,1900,152.4 to 154.4
9/27/2023 4:15,611,226.6 to 228.6
9/27/2023 4:16,2240,2 to 78.2
9/27/2023 4:17,2450,2 to 154.4
9/27/2023 4:18,2700,2 to 228.6
9/27/2023 6:12,-208,2 to 4
9/27/2023 6:13,598,76.2 to 78.2
9/27/2023 6:14,400,152.4 to 154.4
9/27/2023 6:15,1370,226.6 to 228.6
9/27/2023 6:16,2230,2 to 78.2
9/27/2023 6:17,2440,2 to 154.4
9/27/2023 6:18,2730,2 to 228.6
9/27/2023 7:12,-215,2 to 4
9/27/2023 7:13,577,76.2 to 78.2
9/27/2023 7:14,1460,152.4 to 154.4
9/27/2023 7:15,574,226.6 to 228.6
9/27/2023 7:16,2150,2 to 78.2
9/27/2023 7:17,2350,2 to 154.4
9/27/2023 7:18,2330,2 to 228.6
9/27/2023 8:12,-217,2 to 4
9/27/2023 8:13,534,76.2 to 78.2
9/27/2023 8:14,1830,152.4 to 154.4
9/27/2023 8:15,650,226.6 to 228.6
9/27/2023 8:16,2140,2 to 78.2
9/27/2023 8:17,2330,2 to 154.4
9/27/2023 8:18,2400,2 to 228.6
9/27/2023 10:12,-214,2 to 4
9/27/2023 10:13,494,76.2 to 78.2
9/27/2023 10:14,1590,152.4 to 154.4
9/27/2023 10:15,2280,226.6 to 228.6
9/27/2023 10:16,2290,2 to 78.2
9/27/2023 10:17,2480,2 to 154.4
9/27/2023 10:18,2710,2 to 228.6
